英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Sichuan University, Luzhou
Industrial Technology Research Institute",四川大学泸州产业技术研究院,2012/9/19;2023/3/6,.,.,,研究所,EL
"Sichuan University, Qingdao Research Institute",四川大学青岛研究院,2012/9/19;2023/3/6,.,.,,研究所,EL
"Sichuan University, Suzhou Research Institute",四川大学苏州研究院,2012/9/19;2023/3/6,.,.,,研究所,EL
"Sichuan University, Yibin Industrial Technology Research Institute",四川大学宜宾研究院,2012/9/19;2023/3/6,.,.,,研究所,EL
"University of Electronic
Science and Technology of
China",,19/09/2012,.,.,,高校,EL
Sergey Koynov,,2012/10/9;2020/12/23,.,.,,港企,EL
Serko Limited,,2012/10/9;2015/11/12;2020/12/23,.,.,,港企,EL
Giant Base Asia Limited,,2013/3/28;2015/11/12;2020/12/23,.,.,,港企,EL
Jadeshine,北京嘉盛智检科技有限公司,28/03/2013,0,0,,内地企业,EL
"Jadeshine Engineering (HK)
Co.",,2013/3/28;2015/11/12;2020/12/23,.,.,,港企,EL
Jason Shuai,,2013/3/28;2020/12/23,.,.,,个人,EL
Babak Jafarpour,巴巴克·贾法普尔,2013/12/12;2020/12/23,.,.,,个人,EL
Bob Jefferson,鲍勃·杰弗逊,2013/12/12;2020/12/23,.,.,,个人,EL
Peter Jay,彼得·杰,2013/12/12;2020/12/23,.,.,,个人,EL
Sam Lee,山姆·李,2013/12/12;2020/12/23,.,.,,个人,EL
Samson Lee,萨姆森·李,2013/12/12;2020/12/23,.,.,,个人,EL
David Lee,大卫·李,2013/12/12;2020/12/23,.,.,,个人,EL
Anvik Technologies Sdn. Bhd.,,2013/12/12;2020/12/23,.,.,,港企,EL
Beijing Tianhua,北京北航天华时代科技有限公司,2013/12/12;2022/8/24,1,0,,内地企业,EL
"Comsum Technologies
(Group) Ltd.",,2013/12/12;2020/21/23,.,.,,港企,EL
"FOC (HK) Technology Co.,
Ltd.",,2013/12/12;2020/12/23,.,.,,港企,EL
"Hansen Technologies
Limited",,2013/12/12;2020/12/23,.,.,,港企,EL
"Longtek Company, Ltd",北京朗迪锋科技有限公司,12/12/2013,2,0,,内地企业,EL
"Beijing Beihang Assets
Management Co. Ltd.",北京北航资产经营有限公司,2013/12/12;2022/8/24,2,0,,内地企业,EL
Beijing Aeronautical Manufacturing Technology Research Institute,中国航空工业集团公司北京航空制造工程研究所,2014/5/1;2018/1/26,.,.,,研究所,EL
Aviation Industry Corporation of China's (AVIC) Institute 625,中国航空工业集团公司第625研究所,2014/5/1;2018/1/26,.,.,,研究所,EL
"Chengdu Latest Electronics
Technology Company",成都雷斯特科技有限公司,01/05/2014,0,0,,内地企业,EL
"Dalian Ligong Safety
Equipment Company Limited",大连度达理工安全系统有限公司,01/05/2014,0,0,,内地企业,EL
"Fushun Jinly Petrochemical
Carbon Co., Ltd",抚顺金利石化炭素有限公司,01/05/2014,0,0,,内地企业,EL
"Liaoyang Carbon Co., Ltd.",辽阳炭素有限公司,01/05/2014,2,0,,内地企业,EL
"Xinghe Xingyong Carbon Co.,
Ltd",兴和兴永碳素有限公司,01/05/2014,0,0,,内地企业,EL
Zhu Kuibao,,01/05/2014,.,.,,个人,EL
Bing Lu,,2014/6/5;2020/12/23,.,.,,港企,EL
BVI Electronics,,2014/6/5;2020/12/13,.,.,,港企,EL
"JLD Technology, Hong Kong
Co., Ltd.",,2014/6/5;2015/11/12;2020/12/23,.,.,,港企,EL
Sinovac Technology Limited,,2014/6/5;2020/12/23,.,.,,港企,EL
Synergy Express Ltd.,,2014/6/5;2020/12/23,.,.,,港企,EL
Xianfa Lin,,2014/6/5;2017/5/16;200/12/23,.,.,,个人,EL
China Xinshidai Company,中国新时代科技有限公司,26/06/2014,1,0,,内地企业,EL
HWA Create,北京华力创通科技股份有限公司,2014/6/26;2020/12/23,2,2,300045,内地企业,EL
"Panda International
Information Technology
Company, Ltd",熊猫（北京）国际信息技术有限公司,26/06/2014,1,1,600775,内地企业,EL
"Poly Technologies Inc.,",保利科技有限公司,26/06/2014,1,0,,内地企业,EL
"Tian Hang Yang Pu
Technology Investment
Limited Company",北京天航阳普科技投资有限公司,01/08/2014,0,0,,内地企业,EL
"Chengdu GaStone
Technology Co., Ltd.",成都海威华芯科技有限公司,2014/8/1;2016/3/21;2018/8/1,0,0,,内地企业,EL
"Jiangsu Leidian Technology
Company (JLTC)",江苏昊锐宜拓科技有限公司,01/08/2014,0,0,,内地企业,EL
"PRC Lode Technology
Company",北京诺典科技有限公司,2014/8/1;2015/11/12;2016/3/21;2020/12/23,0,0,,内地企业,EL
"Qing'an International Trading
Group",中国庆安国际贸易集团有限公司,01/08/2014,0,0,,内地企业,EL
"China Electronics Technology
Group Corporation 29 (CETC
29) Research Institute","中国电子科技集团公司第二十九研究所
（中国西南电子设备研究所）",2014/8/1;2015/11/12,.,.,,研究所,EL
Su Bin,,2014/8/1;2020/12/23;2021/3/4,.,.,,个人,EL
Bako Cheung,,2014/9/18;2020/12/23,.,.,,个人,EL
Beijing Lion Heart International Trading Company,北京莱恩赫特国际贸易有限公司,2014/9/18;2020/12/23,0,0,,内地企业,EL
"Channel Rich Electronics
Company Limited",,2014/9/18;2020/12/23,.,.,,港企,EL
"Fortune Source Electronics
Co. Ltd",,2014/9/18;2020/12/23,.,.,,港企,EL
Sau Luen Chan,,2014/9/18;2020/12/23,.,.,,个人,EL
"National Supercomputing
Center Changsha",国家超级计算长沙中心,2015/2/18;2022/10/13,.,.,,研究所,EL
"National Supercomputing
Center Guangzhou",国家超级计算广州中心,2015/2/18;2022/10/13,.,.,,研究所,EL
"National Supercomputing
Center Shenzhen",国家超级计算深圳中心,2015/2/18;2022/10/13,.,.,,研究所,EL
"National University of
Defense Technology (NUDT)",国防科技大学,2015/2/18;2019/6/24;2022/6/30;2022/10/13,.,.,,高校,EL
"Shandong Sheenrun Optics &
Electronics Co., Ltd.",山东神戎电子股份有限公司,23/04/2015,2,2,832992,内地企业,EL
"Kinglead Electronics Co., Ltd.",深圳市津利帝科技有限公司,2015/6/5;2015/11/12;2020/12/23,0,0,,内地企业,EL
Kinglead International Trading Limited,,2015/6/5;2015/11/12;2020/12/23,.,.,,港企,EL
Beijing FJR Optoelectronic Technology Company Ltd,北京富吉瑞光电科技股份有限公司,08/07/2015,2,2,688272,内地企业,EL
Beijing Opto-Electronics Technology Company,北京雷生强式科技有限责任公司,28/07/2015,1,0,,内地企业,EL
BOP Opto-Electronics Technology Company,北京波谱华光科技有限公司,28/07/2015,1,0,,内地企业,EL
"China
Electronics Technology
Corporation (CETC) Infrared
Engineering and Technology
Company",中电科技集团红外工程技术有限公司,28/07/2015,0,0,,内地企业,EL
"Yiwu Tianying Optical
Instrument Company",,28/07/2015,.,.,,港企,EL
"China Electronic Technology
Group Corporation No. 11
Research Institute",中国电子科技集团公司第十一研究所,28/07/2015,.,.,,研究所,EL
Fuyuan Huang,,28/07/2015,.,.,,个人,EL
Yin Zhao,,28/07/2015,.,.,,个人,EL
32Group China Ltd.,,12/11/2015,.,.,,港企,EL
Caprice Group Ltd,,2015/11/12;2020/12/23,.,.,,港企,EL
Kitronix Display (H. K) Limited,,2015/11/12;2020/12/23,.,.,,港企,EL
Reekay Technology Ltd,,2015/11/12;2020/12/23,.,.,,港企,EL
Sky Rise Technology Ltd.,,2015/11/12;2020/12/23,.,.,,港企,EL
"TiMi Technologies Co., Ltd",北京泰美世纪科技有限公司,2015/11/12;2020/12/23,0,0,,内地企业,EL
Wang Wei,,2015/11/12;2020/12/23,.,.,,个人,EL
Beijing 8 Star International Co.,北京八星国际贸易有限公司,08/03/2016,0,0,,内地企业,EL
"Jinan Tongbaolai Oilfield
Equipment Co. Ltd",济南通宝莱石油机械有限公司,21/03/2016,0,0,,内地企业,EL
